accident_id,datetime,cell_id,lat,lon,severity
1,2019-01-02 18:00:00,14_06,36.33939512820729,127.37871624679075,경상
2,2019-01-02 19:00:00,21_08,36.348170027327676,127.41730294377517,중상
3,2019-01-02 23:00:00,06_12,36.366752954214796,127.33713591628393,경상
4,2019-01-03 17:00:00,13_09,36.35198140573301,127.37229735573928,경상
5,2019-01-04 05:00:00,10_12,36.364150161599284,127.35599521072793,경상
6,2019-01-04 05:00:00,03_11,36.36046529759822,127.319101009428,경상
7,2019-01-04 12:00:00,03_07,36.342398511079836,127.31748190798734,경상
8,2019-01-04 20:00:00,08_09,36.35297509607066,127.34719736556985,중상
9,2019-01-05 23:00:00,07_05,36.33663381482966,127.3415926106913,경상
10,2019-01-06 19:00:00,15_06,36.340818188780034,127.38800577589909,사망
11,2019-01-07 17:00:00,09_08,36.34654309629824,127.35134318738999,경상
12,2019-01-07 20:00:00,12_05,36.33422329029396,127.3698941911997,경상
13,2019-01-08 13:00:00,23_18,36.39551693068865,127.42604607047788,경상
14,2019-01-09 04:00:00,20_03,36.32339882355602,127.41466468058789,경상
15,2019-01-10 08:00:00,07_05,36.33182523881505,127.34183760565085,경상
16,2019-01-11 22:00:00,13_05,36.335057279633055,127.37547240212862,중상
17,2019-01-12 18:00:00,12_07,36.34214758794381,127.36688311937468,경상
18,2019-01-12 22:00:00,13_01,36.31401766355975,127.37263063959807,경상
19,2019-01-12 22:00:00,23_08,36.348140858694904,127.43040586149846,경상
20,2019-01-13 19:00:00,11_11,36.358655618014524,127.36161424248462,중상
21,2019-01-13 21:00:00,22_08,36.349796839631125,127.42389074449709,경상
22,2019-01-14 10:00:00,22_07,36.34412893581878,127.42585473818735,경상
23,2019-01-14 18:00:00,14_17,36.389013374171704,127.37756372927474,경상
24,2019-01-15 01:00:00,00_07,36.34273738679808,127.30283936921734,경상
25,2019-01-15 13:00:00,08_04,36.329280387900425,127.34382135688065,중상
26,2019-01-15 19:00:00,18_01,36.31275464854386,127.40575530984998,경상
27,2019-01-17 11:00:00,21_06,36.33792142973873,127.41683771914985,경상
28,2019-01-19 20:00:00,23_06,36.33992137150669,127.42958990764281,중상
29,2019-01-20 20:00:00,01_07,36.34396931448943,127.30734821174516,경상
30,2019-01-21 22:00:00,07_09,36.351160086385775,127.34144642253627,경상
31,2019-01-22 18:00:00,07_06,36.33698588230462,127.34245716026557,경상
32,2019-01-22 20:00:00,12_05,36.33425603189294,127.36585770895792,경상
33,2019-01-23 08:00:00,19_12,36.36464950265788,127.40930478739368,경상
34,2019-01-23 11:00:00,13_09,36.354023574379106,127.37357596964434,중상
35,2019-01-26 18:00:00,18_09,36.35169969616018,127.40013170468079,중상
36,2019-01-28 12:00:00,08_03,36.323981877176294,127.34898824639437,중상
37,2019-01-31 04:00:00,02_06,36.33893765362644,127.31324281959482,경상
38,2019-02-01 22:00:00,13_00,36.31488883254927,127.37570076180468,중상
39,2019-02-02 16:00:00,04_13,36.368825266105794,127.32318966523312,경상
40,2019-02-02 19:00:00,23_04,36.32997825692867,127.4310782785708,경상
41,2019-02-03 07:00:00,08_03,36.324881195258385,127.35097164793908,경상
42,2019-02-04 19:00:00,13_07,36.34555239405052,127.37284642037673,경상
43,2019-02-05 16:00:00,11_17,36.38796346115237,127.36237907002364,중상
44,2019-02-05 20:00:00,14_13,36.36713868420273,127.38138117788927,경상
45,2019-02-06 02:00:00,18_08,36.347886430540605,127.40416226193469,경상
46,2019-02-06 18:00:00,13_00,36.31066102121295,127.37404051266708,중상
